entity_urn,ownership_status,headcount,twitter_follower_count,linkedin_follower_count,funding_total,funding_stage,gpt_sector,domain,name,city,country,years_since_founding,investors,highlights,is_target,similarity_score
urn:harmonic:company:2003862,PRIVATE,30,207.0,1912,22.89,SERIES_B,FinTech,methodfi.com,Method,Austin,United States,3.9643835616438357,"['Abstract Ventures' 'Runa Capital' 'Y Combinator' 'Alumni Ventures'
 'Cameron Ventures' 'SV Angel' 'Andreessen Horowitz' 'Truist'
 'LiveOak Ventures' 'Leonis Capital' 'Ardent Venture Partners'
 'Truist Ventures' 'Hack VC' 'Raghunandan G' 'Venky Karnam'
 'Princeton Taylor']","['Abstract Ventures', 'Alumni Ventures', 'Andreessen Horowitz', 'Ardent Venture Partners', 'Cameron Ventures', 'Hack VC', 'Leonis Capital', 'LiveOak Ventures', 'Princeton Taylor', 'Raghunandan G', 'Runa Capital', 'SV Angel', 'Truist', 'Truist Ventures', 'Venky Karnam', 'Y Combinator']",1,0.99998856
urn:harmonic:company:3075425,PRIVATE,17,,1590,7.3,SERIES_A,,syrup.tech,Syrup Tech,New York,United States,4.446575342465754,"['Harvard Business School' 'Accel' '2 | Twelve' 'Gradient'
 'Atacama Ventures' 'Rackhouse Venture Capital' 'Flybridge'
 'Squad Capital' '1686 Partners' 'Black Angel Group'
 'Harvard Innovation Labs' '1984 Ventures' 'Angel Investors'
 'firstminute capital' 'Philip Krim' 'Cristina Stenbeck' 'Various Angels'
 'Ron Zori']","['1686 Partners', '1984 Ventures', '2 | Twelve', 'Accel', 'Angel Investors', 'Atacama Ventures', 'Black Angel Group', 'Cristina Stenbeck', 'Flybridge', 'Gradient', 'Harvard Business School', 'Harvard Innovation Labs', 'Philip Krim', 'Rackhouse Venture Capital', 'Ron Zori', 'Squad Capital', 'Various Angels', 'firstminute capital']",1,0.9999876
urn:harmonic:company:3275494,PRIVATE,15,,9536,0.125,SERIES_A,Data,exa.ai,Exa,San Francisco,United States,3.6356164383561644,['Y Combinator' 'Lightspeed Venture Partners' 'NVentures' 'Mei Z.'],"['Lightspeed Venture Partners', 'Mei Z.', 'NVentures', 'Y Combinator']",1,0.999987
urn:harmonic:company:773835,PRIVATE,23,5153.0,737,6.5,SERIES_B,Infrastructure,clerk.com,Clerk.com,San Francisco,United States,4.802739726027397,"['Darragh Buckley' 'Mango Capital' 'Andreessen Horowitz' 'Netlify'
 'Madrona' 'Stripe' 'Fathom Capital' 'South Park Commons'
 'Jamstack Innovation Fund' 'S28 Capital' 'CRV' 'Gordon Wintrob'
 'Guillermo Rauch' 'Ilya Volodarsky' 'Dave Winer']","['Andreessen Horowitz', 'CRV', 'Darragh Buckley', 'Dave Winer', 'Fathom Capital', 'Gordon Wintrob', 'Guillermo Rauch', 'Ilya Volodarsky', 'Jamstack Innovation Fund', 'Madrona', 'Mango Capital', 'Netlify', 'S28 Capital', 'South Park Commons', 'Stripe']",1,0.99998546
urn:harmonic:company:6585,PRIVATE,40,51.0,2180,31.8,SERIES_B,Data,freshpaint.io,Freshpaint,San Francisco,United States,5.967123287671233,"['Zero Prime Ventures' 'Intel Capital' 'Abstraction Capital'
 'Y Combinator' 'SignalFire' 'Pioneer Fund' 'Threshold Ventures'
 'BT Growth Capital']","['Abstraction Capital', 'BT Growth Capital', 'Intel Capital', 'Pioneer Fund', 'SignalFire', 'Threshold Ventures', 'Y Combinator', 'Zero Prime Ventures']",1,0.9999851
urn:harmonic:company:3053348,PRIVATE,15,15.0,3075,18.0,SERIES_A,Healthcare Software,plenful.com,Plenful,San Francisco,United States,3.9643835616438357,"['Susa Ventures' 'Bessemer Venture Partners' 'TQ Ventures'
 'Waterline Ventures']","['Bessemer Venture Partners', 'Mitchell Rales', 'Susa Ventures', 'TQ Ventures', 'Waterline Ventures']",1,0.999985
urn:harmonic:company:10819970,PRIVATE,11,22.0,262,0.4218499999999999,SERIES_B,Data,unstructured.io,unstructured.io,San Francisco,United States,2.9643835616438357,"['Bain Capital Ventures' 'Databricks' 'MongoDB Ventures'
 ""M12, Microsoft's Venture Fund"" 'Shield Capital' 'Madrona'
 'Green D Ventures (an Alumni Ventures Fund)' 'Alumni Ventures'
 'Artefact Informatique, Inc.' 'Mango Capital' 'nVentures'
 'New Normal Ventures' 'Menlo Ventures' 'Databricks Ventures' 'NVentures'
 'Harrison Chase' 'Vivek Ranadivé' 'Bob Van Luijt' 'Chet Kapoor'
 'Josh Lefkowitz' 'Allison Pickens']","['Allison Pickens', 'Alumni Ventures', 'Artefact Informatique', 'Bain Capital Ventures', 'Bob Van Luijt', 'Chet Kapoor', 'Databricks', 'Databricks Ventures', 'Green D Ventures (an Alumni Ventures Fund)', 'Harrison Chase', 'Josh Lefkowitz', 'M12', ""Microsoft's Venture Fund"", 'Madrona', 'Mango Capital', 'Menlo Ventures', 'MongoDB Ventures', 'NVentures', 'New Normal Ventures', 'Shield Capital', 'Vivek Ranadivé', 'nVentures']",1,0.99998415
urn:harmonic:company:1449433,PRIVATE,69,168.0,976,20.1,SERIES_B,Infrastructure,qawolf.com,QA Wolf,Seattle,United States,5.967123287671233,"['Inspired Capital' 'Operator Partners' 'SHL Capital' 'CoFound Partners'
 'Notation Capital' 'Threshold Ventures' 'Scale Venture Partners'
 'Thiel Capital' 'Naval Ravikant' 'Sahil Lavingia' 'Austen Allred'
 'Peter Thiel']","['Austen Allred', 'CoFound Partners', 'Inspired Capital', 'Naval Ravikant', 'Notation Capital', 'Operator Partners', 'Peter Thiel', 'SHL Capital', 'Sahil Lavingia', 'Scale Venture Partners', 'Thiel Capital', 'Threshold Ventures', 'Ventureforgood']",1,0.99998045
urn:harmonic:company:21435391,PRIVATE,24,142.0,4534,25.4,SEED,Infrastructure,gradient.ai,Gradient,San Francisco,United States,2.9643835616438357,"['Secure Octane' 'New Normal Ventures' 'Global Founders Capital'
 'Wing Venture Capital' 'Mango Capital' 'Tokyo Black']","['Global Founders Capital', 'Mango Capital', 'New Normal Ventures', 'Secure Octane', 'Tokyo Black', 'Wing Venture Capital']",1,0.9999794
urn:harmonic:company:12815640,PRIVATE,21,317.0,937,17.5,SERIES_A,Cybersecurity,stacklok.com,Stacklok,Seattle,United States,1.9643835616438357,['Accel' 'Madrona' 'Craig Mcluckie'],"['Accel', 'Craig Mcluckie', 'Madrona']",1,0.99997914
urn:harmonic:company:3928206,PRIVATE,7,,121,5.97,SERIES_B,Healthcare Software,smarterdx.com,SmarterDx,New York,United States,4.967123287671233,"['Flare Capital Partners' 'Bessemer Venture Partners'
 'White Plains Hospital' 'Switch Ventures' 'Virtue'
 'Transformation Capital' 'Floodgate']","['Bessemer Venture Partners', 'Flare Capital Partners', 'Floodgate', 'Floodgate Fund', 'Switch Ventures', 'Transformation Capital', 'Virtue', 'White Plains Hospital']",1,0.9999789
urn:harmonic:company:3309146,PRIVATE,71,101.0,2392,30.0,SERIES_B,Cybersecurity,legitsecurity.com,Legit Security,Boston,United States,3.9643835616438357,"['CRV' 'Cyberstarts' 'Bessemer Venture Partners' 'CRV' 'TCV'
 'Cerca Partners']","['Bessemer Venture Partners', 'CRV', 'Cerca Partners', 'Cyberstarts', 'TCV']",1,0.9999788
urn:harmonic:company:1450255,PRIVATE,27,9168.0,12603,0.125,SERIES_A,Infrastructure,flutterflow.io,FlutterFlow,Mountain View,United States,4.131506849315069,"['Y Combinator' 'GV (Google Ventures)' 'Lombardstreet Ventures'
 'Xoogler Ventures' 'Gradient' 'Leonis Investissement' 'The MBA Fund'
 'Accion Opportunity Fund' 'Xoogler.co' 'Locus Ventures' 'Lisha Li'
 'Manik Gupta']","['Accion Opportunity Fund', 'GV (Google Ventures)', 'Gradient', 'Leonis Investissement', 'Lisha Li', 'Locus Ventures', 'Lombardstreet Ventures', 'Manik Gupta', 'The MBA Fund', 'Xoogler Ventures', 'Y Combinator']",1,0.99997807
urn:harmonic:company:4115957,PRIVATE,28,98.0,10168,17.85,SERIES_A,Data,vendelux.com,Vendelux,New York,United States,3.1342465753424658,"['Money20/20' 'Tri-Valley Ventures' 'Jon Oringer' 'Shoptalk'
 'Pareto Holdings' 'Manifest' 'Earl Grey Capital' 'Alumni Ventures'
 'FirstMark' 'Tenacity Venture Capital' 'Jonathan Weiner'
 'Future Back Ventures by Bain & Company' 'Cervin Ventures' 'Olam Capital'
 'Blueprint' 'Shafqat Islam' 'Jay Weintraub' 'Jon Oringer'
 'Benjamin Narasin' 'Avi Muchnick' 'Edward Lando' 'Alexander Theuma'
 'Jonathan Weiner' 'Nadav Ben-Chanoch']","['Alexander Theuma', 'Alumni Ventures', 'Avi Muchnick', 'Benjamin Narasin', 'Blueprint', 'Cervin Ventures', 'Earl Grey Capital', 'Edward Lando', 'FirstMark', 'Future Back Ventures by Bain & Company', 'Jay Weintraub', 'Jon Oringer', 'Jonathan Weiner', 'Manifest', 'Money20/20', 'Nadav Ben-Chanoch', 'Olam Capital', 'Pareto Holdings', 'Shafqat Islam', 'Shoptalk', 'Tenacity Venture Capital', 'Tri-Valley Ventures']",1,0.9999769
urn:harmonic:company:2178345,PRIVATE,12,238.0,1365,0.4218499999999999,SERIES_A,Data,metaplane.dev,Metaplane,Boston,United States,5.967123287671233,"['Snowflake Ventures' 'Y Combinator' 'Earl Grey Capital' 'Stage 2 Capital'
 'Kevin Mahaffey' 'Felicis' 'SNR' 'Khosla Ventures' 'Flybridge'
 'B37 Ventures' 'Fahd A.' 'Elias Torres' 'Alex MacCaw' 'Dharmesh Shah'
 'Kevin Patrick Mahaffey' 'Guillermo Rauch' 'Alex Maccaw' 'Thomson Nguyen'
 'Frederic Kerrest']","['Alex MacCaw', 'Alex Maccaw', 'B37 Ventures', 'Dharmesh Shah', 'Earl Grey Capital', 'Elias Torres', 'Fahd A.', 'Felicis', 'Flybridge', 'Frederic Kerrest', 'Guillermo Rauch', 'Kevin Mahaffey', 'Kevin Patrick Mahaffey', 'Khosla Ventures', 'SNR', 'Snowflake Ventures', 'Stage 2 Capital', 'Thomson Nguyen', 'Y Combinator']",1,0.9999722
urn:harmonic:company:1841807,PRIVATE,33,488.0,2355,10.0,SERIES_A,Cybersecurity,permiso.io,Permiso Security,Palo Alto,United States,4.967123287671233,"['Point72 Ventures' '11.2 Capital' 'Foundation Capital' 'Work-Bench'
 'Altimeter' 'Rain Capital' 'Jason Chan' 'Brandon Dixon' 'Travis Mcpeak'
 'Caleb Sima' 'Talha Tariq' 'Tyler Shields']","['11.2 Capital', 'Altimeter', 'Brandon Dixon', 'Caleb Sima', 'Foundation Capital', 'Jason Chan', 'Point72 Ventures', 'Rain Capital', 'Talha Tariq', 'Travis Mcpeak', 'Tyler Shields', 'Work-Bench']",1,0.999969
urn:harmonic:company:4299675,PRIVATE,21,17.0,2173,4.5,SEED,Healthcare Software,j2health.com,J2 Health,New York,United States,4.967123287671233,"['Tiger Global Management' 'Primary X' 'Greycroft'
 'Primary Venture Partners' 'BoxGroup' 'Mario Schlosser']","['BoxGroup', 'Greycroft', 'Mario Schlosser', 'Primary Venture Partners', 'Primary X', 'Tiger Global', 'Tiger Global Management']",1,0.99996877
urn:harmonic:company:6665887,PRIVATE,15,63.0,1610,5.0,SEED,Climate Tech Software,gravityclimate.com,Gravity,San Francisco,United States,2.956164383561644,['Eclipse' 'Caffeinated Capital'],"['Caffeinated Capital', 'Eclipse']",1,0.999964
urn:harmonic:company:10356056,PRIVATE,112,31.0,2315,22.9,SERIES_B,Healthcare Software,adonis.io,adonis,New York,United States,2.9643835616438357,"['Homebrew' 'Soma Capital' 'Correlation Ventures' 'Everywhere Ventures'
 'New Normal Ventures' 'Covalent Ventures' 'General Catalyst' 'Homebrew'
 'Firsthand Alliance' 'Kin Ventures' 'Point72 Ventures'
 'Two Culture Capital' 'Bling Capital' 'Coalition Operators'
 'Singh Capital Partners' 'Max Ventures' 'Asymmetric'
 ""Derick En'wezoh, Md, Mba""]","['Asymmetric', 'Bling Capital', 'Coalition Operators', 'Correlation Ventures', 'Covalent Ventures', ""Derick En'wezoh"", 'Md', 'Mba', 'Everywhere Ventures', 'Firsthand Alliance', 'General Catalyst', 'Homebrew', 'Kin Ventures', 'Max Ventures', 'New Normal Ventures', 'Point72 Private Investments', 'Point72 Ventures', 'Singh Capital Partners', 'Soma Capital', 'Two Culture Capital']",1,0.9999633
urn:harmonic:company:11191879,PRIVATE,10,11.0,1127,1.5,SERIES_A,Defense Tech,procurementsciences.com,Procurement Sciences,Washington,United States,2.0493150684931507,"['Battery Ventures' 'Tower Research Capital' 'K Street Capital'
 'Blu Ventures']","['Battery Ventures', 'Blu Ventures', 'K Street Capital', 'Tower Research Capital']",1,0.9999615
urn:harmonic:company:4424410,PRIVATE,105,474.0,3644,2.0,SEED,Infrastructure,getdx.com,DX,Salt Lake City,United States,3.9643835616438357,['James Smith' 'Guillermo Rauch' 'Chris Hicken' 'Jason Warner'],"['Chris Hicken', 'Guillermo Rauch', 'James Smith', 'Jason Warner']",1,0.99995923
urn:harmonic:company:9076,PRIVATE,84,809.0,3441,29.1,SERIES_B,,transcend.io,Transcend,San Francisco,United States,7.967123287671233,"['Aditya Agarwal' 'AROSA CAPITAL MANAGEMENT, LP' 'HIGHLANDX' 'Octave'
 'South Park Commons' 'Twilio Ventures' 'Highland Capital Partners'
 '01 Advisors' 'HG Ventures' 'Script Capital' 'PureTerra Ventures'
 'StepStone Group' 'Accel' 'Index Ventures' 'Aspen Capital Group'
 'Dylan Field' 'Phil Venables' 'Boris Jabes']","['01 Advisors', 'AROSA CAPITAL MANAGEMENT', 'Accel', 'Aditya Agarwal', 'Aspen Capital Group', 'Autodesk', 'Boris Jabes', 'Dylan Field', 'HG Ventures', 'HIGHLANDX', 'Highland Capital Partners', 'Index Ventures', 'Octave', 'Phil Venables', 'PureTerra Ventures', 'Script Capital', 'South Park Commons', 'StepStone Group', 'Twilio Ventures']",1,0.9999558
urn:harmonic:company:1974779,PRIVATE,85,36.0,1064,11.2006,SERIES_A,Vertical Software,debtbook.com,DebtBook,Charlotte,United States,5.967123287671233,"['CreativeCo' 'Charlotte Fund' '2040 Foundation' 'Elephant'
 'Meeting Street Capital']","['2040 Foundation', 'Charlotte Fund', 'CreativeCo', 'Elephant', 'Meeting Street Capital']",1,0.9999554
urn:harmonic:company:1678507,PRIVATE,13,,1959,26.0,SERIES_B,Healthcare Software,ambiencehealthcare.com,Ambience Healthcare,San Francisco,United States,4.967123287671233,"['Andreessen Horowitz' 'Memorial Hermann Health System' 'Martin Ventures'
 'OpenAI' 'Kleiner Perkins' 'Optum Ventures'
 'Alysia Silberg (Street Global)' 'OpenAI Startup Fund'
 'Thomas F. Frist Jr.' 'Richard Socher' 'Randy Parker' 'Anne Wojcicki'
 'Pieter Abbeel' 'Nish Bhat' 'Matt Mochary']","['Alysia Silberg (Street Global)', 'Andreessen Horowitz', 'Anne Wojcicki', 'Kleiner Perkins', 'Martin Ventures', 'Matt Mochary', 'Memorial Hermann Health System', 'Nish Bhat', 'OpenAI', 'OpenAI Startup Fund', 'Optum Ventures', 'Pieter Abbeel', 'Randy Parker', 'Richard Socher', 'Thomas F. Frist Jr.']",1,0.99995387
urn:harmonic:company:1704422,PRIVATE,13,75.0,228,14.54,SERIES_B,,prepared911.com,Prepared,New York,United States,4.967123287671233,"['MVP Ventures' 'Flucas Ventures' 'VentureFund' 'Gradient'
 'Rsquared Ventures' '8VC' 'M13' 'Dorm Room Fund' 'NewView Capital'
 'Andreessen Horowitz' 'First Round Capital' 'Joshua Browder'
 'James Murphy' 'Paul Gu' 'Youcef Es-Skouri']","['8VC', 'Andreessen Horowitz', 'Dorm Room Fund', 'First Round Capital', 'Flucas Ventures', 'Gradient', 'James Murphy', 'Joshua Browder', 'M13', 'MVP Ventures', 'NewView Capital', 'Paul Gu', 'Rsquared Ventures', 'VentureFund', 'Youcef Es-Skouri', 'undisclosed angel investors']",1,0.9999523
urn:harmonic:company:10749556,PRIVATE,81,,2918,34.0,SEED,,ox.security,OX Security,Boston,United States,3.9643835616438357,"['Intel Ignite' 'Artefact Informatique, Inc.' 'Rain Capital'
 ""M12, Microsoft's Venture Fund"" 'Evolution Equity Partners' 'Team8']","['Artefact Informatique', 'Evolution Equity Partners', 'IBM Ventures', 'Intel Ignite', 'M12', ""Microsoft's Venture Fund"", 'Rain Capital', 'Team8']",1,0.9999473
urn:harmonic:company:1869576,PRIVATE,13,,926,4.140705,SERIES_A,Horizontal Software,tavus.io,Tavus,San Francisco,United States,4.967123287671233,"['Accel' 'Soma Capital' 'Scale Venture Partners' 'TerraNova Partners LP'
 'Liquid 2 Ventures' 'SV Angel' 'Index Ventures' 'Y Combinator'
 'HackLegacy VC' 'REMUS Capital' 'HubSpot' 'Sequoia Capital' 'SaxeCap'
 'Terra Nova' 'Mantis Venture Capital' 'PowerPlay Capital' 'Sequoia'
 'Zillionize' 'Lightspeed Venture Partners']","['Accel', 'HackLegacy VC', 'HubSpot', 'Index Ventures', 'Lightspeed Venture Partners', 'Liquid 2 Ventures', 'Mantis Venture Capital', 'PowerPlay Capital', 'REMUS Capital', 'SV Angel', 'SaxeCap', 'Scale Venture Partners', 'Sequoia', 'Sequoia Capital', 'Soma Capital', 'Terra Nova', 'TerraNova Partners LP', 'Y Combinator', 'Zillionize']",1,0.9999403
urn:harmonic:company:8986281,PRIVATE,28,416.0,1226,10.0,SERIES_A,Cybersecurity,silentpush.com,Silent Push,Reston,United States,4.967123287671233,['Aro Ventures' 'StepStone Group' 'CyLon' 'Ten Eleven Ventures'],"['Aro Ventures', 'CyLon', 'StepStone Group', 'Ten Eleven Ventures']",1,0.9999356
urn:harmonic:company:1520412,PRIVATE,68,44.0,6582,31.7881,SERIES_A,FinTech,taktile.com,Taktile,New York,United States,4.967123287671233,"['New Forge' 'DigVentures' 'Index Ventures' 'firstminute capital'
 'Y Combinator' 'Tiger Global Management' 'Plug and Play Tech Center'
 '3cubed Ventures' 'Tom Glocer' 'Daniel Dines' 'Olivier Pomel'
 'Scott Chacon']","['3cubed Ventures', 'Daniel Dines', 'DigVentures', 'Index Ventures', 'New Forge', 'Olivier Pomel', 'Plug and Play Tech Center', 'Scott Chacon', 'Tiger Global', 'Tiger Global Management', 'Tom Glocer', 'Y Combinator', 'firstminute capital']",1,0.9999347
